YR,MTH,AVQ
年份,月,平均流量
1954,1,2740
1954,2,2460
1954,3,2700
1954,4,4080
1954,5,6070
1954,6,10900
1954,7,25800
1954,8,31000
1954,9,20200
1954,10,15200
1954,11,7520
1954,12,4600
1955,1,3280
1955,2,2920
1955,3,2560
1955,4,3160
1955,5,4120
1955,6,10700
1955,7,23500
1955,8,25300
1955,9,13200
1955,10,11800
1955,11,9670
1955,12,4430
1956,1,3150
1956,2,2560
1956,3,2620
1956,4,2960
1956,5,6820
1956,6,11200
1956,7,15200
1956,8,15500
1956,9,18800
1956,10,8810
1956,11,6560
1956,12,3940
1957,1,3150
1957,2,2840
1957,3,3200
1957,4,3890
1957,5,6390
1957,6,10900
1957,7,22500
1957,8,18500
1957,9,12200
1957,10,14200
1957,11,5800
1957,12,4090
1958,1,3010
1958,2,2890
1958,3,2610
1958,4,2680
1958,5,4700
1958,6,7640
1958,7,15100
1958,8,21100
1958,9,16000
1958,10,9460
1958,11,5410
1958,12,3680
1959,1,2820
1959,2,2680
1959,3,3010
1959,4,2920
1959,5,5230
1959,6,11200
1959,7,14300
1959,8,20400
1959,9,10300
1959,10,8660
1959,11,5740
1959,12,3580
1960,1,2520
1960,2,2310
1960,3,2130
1960,4,2450
1960,5,2970
1960,6,9860
1960,7,18500
1960,8,20600
1960,9,16400
1960,10,10200
1960,11,5640
1960,12,3600
1961,1,2760
1961,2,2450
1961,3,3110
1961,4,4390
1961,5,5400
1961,6,11500
1961,7,20600
1961,8,21300
1961,9,12400
1961,10,10300
1961,11,6540
1961,12,3900
1962,1,2800
1962,2,2440
1962,3,2230
1962,4,2800
1962,5,5150
1962,6,12400
1962,7,21300
1962,8,26700
1962,9,16800
1962,10,9390
1962,11,6430
1962,12,3750
1963,1,2510
1963,2,2170
1963,3,2240
1963,4,2330
1963,5,3930
1963,6,7350
1963,7,18600
1963,8,16200
1963,9,16000
1963,10,13500
1963,11,6910
1963,12,4100
1964,1,2990
1964,2,2740
1964,3,2780
1964,4,3470
1964,5,5220
1964,6,11000
1964,7,16900
1964,8,19100
1964,9,23000
1964,10,14300
1964,11,6700
1964,12,4070
1965,1,3060
1965,2,2670
1965,3,2830
1965,4,3530
1965,5,4930
1965,6,14000
1965,7,24400
1965,8,20500
1965,9,20400
1965,10,15000
1965,11,7520
1965,12,4550
1966,1,3090
1966,2,2610
1966,3,2260
1966,4,2620
1966,5,3950
1966,6,9080
1966,7,18200
1966,8,23900
1966,9,25800
1966,10,14200
1966,11,6340
1966,12,4120
1967,1,3160
1967,2,2960
1967,3,2980
1967,4,3030
1967,5,6260
1967,6,11600
1967,7,12800
1967,8,15200
1967,9,14800
1967,10,11200
1967,11,5960
1967,12,3820
1971,1,3110
1971,2,3080
1971,3,2780
1971,4,2940
1971,5,4680
1971,6,10800
1971,7,13000
1971,8,16100
1971,9,11900
1971,10,10900
1971,11,6010
1971,12,3570
1972,1,2790
1972,2,2520
1972,3,2440
1972,4,3130
1972,5,6550
1972,6,9620
